uf,escolaridade,ordem_escolaridade,curso,ordem_area_atuacao,area_atuacao,inscritos,selecionados,nao_cert,certificados,abandonos,evasoes
PR,Mestrado,7,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
RJ,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,1,1,1,0
RJ,Médio Completo,2,Formação de Mediadores - 01/2016,4,Secretaria de Educação,1,1,0,1,0,0
RJ,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,1,1,0,0
RJ,Estudante Superior,3,Formação de Mediadores - 01/2016,4,Secretaria de Educação,1,1,0,1,0,0
RJ,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,1,3,1,0
RJ,Superior Completo,4,Formação de Mediadores - 01/2016,4,Secretaria de Educação,1,1,0,0,1,0
RJ,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
RJ,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,0,1,1,0
RJ,Especialista,5,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
RJ,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
RJ,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,0,0,2,0
RN,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
RN,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
RN,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,1,4,0,0
RN,Superior Completo,4,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,0,0,1,0
RN,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,0,0,1,0
RN,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,0,2,1,0
RN,Especialista,5,Formação de Mediadores - 01/2016,5,Secretaria de Saúde,1,1,0,0,1,0
RN,Mestrando,6,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
RN,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
RO,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,1,1,0,0,0,1
RR,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,1,0,0
RS,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,0,1,1,0
RS,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,2,0,0,1
RS,Estudante Superior,3,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
RS,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,8,8,2,5,0,1
RS,Superior Completo,4,Formação de Mediadores - 01/2016,2,CREAS,4,4,2,1,1,0
RS,Superior Completo,4,Formação de Mediadores - 01/2016,5,Secretaria de Saúde,1,1,0,0,0,1
RS,Superior Completo,4,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
RS,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,7,7,1,2,4,0
RS,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,1,1,1,0,0,0
RS,Mestrando,6,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,0,0,1,0
RS,Doutorado,9,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
SC,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,0,1,1,0
SC,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,1,3,1,0
SC,Especialista,5,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
SC,Mestrado,7,Formação de Mediadores - 01/2016,6,Sistema Justiça,2,2,1,0,1,0
SE,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
SE,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
SE,Superior Completo,4,Formação de Mediadores - 01/2016,3,Conselhos,1,1,1,0,0,0
SE,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,3,3,0,2,1,0
SE,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,2,2,1,0,0,1
SP,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,9,9,3,5,1,0
SP,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
SP,Estudante Superior,3,Formação de Mediadores - 01/2016,2,CREAS,1,1,1,0,0,0
SP,Estudante Superior,3,Formação de Mediadores - 01/2016,3,Conselhos,1,1,1,0,0,0
SP,Estudante Superior,3,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
SP,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,19,19,11,7,1,0
SP,Superior Completo,4,Formação de Mediadores - 01/2016,2,CREAS,2,2,1,1,0,0
SP,Superior Completo,4,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,0,0,1,0
SP,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
SP,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,4,4,1,3,0,0
SP,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,2,2,1,0,1,0
SP,Mestrando,6,Formação de Mediadores - 01/2016,7,Outros,1,1,0,0,1,0
SP,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,0,3,0,0
AC,Médio Completo,2,Fortalecimento da Gestão - 01/2016,7,Outros,1,0,0,0,0,0
AC,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,0,0,0,0,0
AC,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,9,9,3,4,1,1
AC,Superior Completo,4,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,1,0,0,0,1
AC,Superior Completo,4,Fortalecimento da Gestão - 01/2016,7,Outros,3,3,2,1,0,0
AC,Especialista,5,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,2,0,0,0
AC,Especialista,5,Fortalecimento da Gestão - 01/2016,2,CREAS,1,1,0,1,0,0
AC,Especialista,5,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
AC,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,1,1,0,1,0,0
AC,Mestrado,7,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
AL,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,0,0,0,0,0
AL,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,3,Conselhos,2,0,0,0,0,0
AL,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,0,2,0,0
AL,Superior Completo,4,Fortalecimento da Gestão - 01/2016,2,CREAS,3,3,0,2,1,0
AL,Superior Completo,4,Fortalecimento da Gestão - 01/2016,3,Conselhos,1,1,1,0,0,0
AL,Superior Completo,4,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,2,2,0,1,1,0
AL,Especialista,5,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
AL,Especialista,5,Fortalecimento da Gestão - 01/2016,2,CREAS,1,1,0,1,0,0
AL,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,9,7,2,3,1,1
AL,Mestrando,6,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,0,0,1
AM,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,1,0,1,0
AM,Superior Completo,4,Fortalecimento da Gestão - 01/2016,2,CREAS,1,1,0,0,1,0
AM,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,1,1,0,1,0,0
AP,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,1,1,1,0
AP,Superior Completo,4,Fortalecimento da Gestão - 01/2016,2,CREAS,1,1,1,0,0,0
AP,Superior Completo,4,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,1,0,0,0,1
AP,Superior Completo,4,Fortalecimento da Gestão - 01/2016,7,Outros,2,2,1,1,0,0
AP,Especialista,5,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
AP,Especialista,5,Fortalecimento da Gestão - 01/2016,3,Conselhos,2,2,0,2,0,0
AP,Especialista,5,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,3,2,1,1,0,0
AP,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,1,1,1,0,0,0
AP,Mestrado,7,Fortalecimento da Gestão - 01/2016,7,Outros,1,1,0,0,1,0
BA,Médio Completo,2,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,4,0,0,0,0,0
BA,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,4,0,0,0,0,0
BA,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,0,0,0,0,0
BA,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,7,Outros,2,0,0,0,0,0
BA,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,21,20,11,7,1,1
BA,Superior Completo,4,Fortalecimento da Gestão - 01/2016,2,CREAS,6,6,5,1,0,0
BA,Superior Completo,4,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,2,2,1,0,0,1
BA,Superior Completo,4,Fortalecimento da Gestão - 01/2016,5,Secretaria de Saúde,2,2,1,1,0,0
BA,Superior Completo,4,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,2,2,0,1,1,0
BA,Superior Completo,4,Fortalecimento da Gestão - 01/2016,7,Outros,5,3,1,0,2,0
BA,Especialista,5,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,1,4,0,0
BA,Especialista,5,Fortalecimento da Gestão - 01/2016,2,CREAS,4,4,1,2,0,1
BA,Especialista,5,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,1,1,1,0,0,0
BA,Especialista,5,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,1,0,1,0,0
BA,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,10,10,3,3,2,2
CE,Médio Completo,2,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
CE,Médio Completo,2,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,0,0,0,0,0
CE,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
CE,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,7,Outros,2,0,0,0,0,0
CE,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,2,3,0,0
CE,Superior Completo,4,Fortalecimento da Gestão - 01/2016,2,CREAS,9,9,4,0,5,0
CE,Superior Completo,4,Fortalecimento da Gestão - 01/2016,3,Conselhos,4,4,1,2,1,0
CE,Superior Completo,4,Fortalecimento da Gestão - 01/2016,7,Outros,18,15,8,4,2,1
CE,Especialista,5,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,6,5,1,2,2,0
CE,Especialista,5,Fortalecimento da Gestão - 01/2016,2,CREAS,3,3,1,0,2,0
CE,Especialista,5,Fortalecimento da Gestão - 01/2016,3,Conselhos,2,2,0,2,0,0
CE,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,6,5,3,1,1,0
DF,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
DF,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,6,6,1,2,1,2
DF,Superior Completo,4,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,1,1,1,0,0,0
DF,Superior Completo,4,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,0,0,0,0,0
DF,Superior Completo,4,Fortalecimento da Gestão - 01/2016,7,Outros,6,5,0,4,1,0
DF,Especialista,5,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,8,8,4,4,0,0
DF,Especialista,5,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,2,2,1,1,0,0
DF,Especialista,5,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,1,0,1,0,0
DF,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,7,7,1,2,4,0
DF,Mestrando,6,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
DF,Mestrado,7,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,1,1,0,0
DF,Mestrado,7,Fortalecimento da Gestão - 01/2016,7,Outros,1,1,0,1,0,0
ES,Médio Completo,2,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,8,0,0,0,0,0
ES,Médio Completo,2,Fortalecimento da Gestão - 01/2016,2,CREAS,2,0,0,0,0,0
ES,Médio Completo,2,Fortalecimento da Gestão - 01/2016,3,Conselhos,1,0,0,0,0,0
ES,Médio Completo,2,Fortalecimento da Gestão - 01/2016,7,Outros,3,0,0,0,0,0
ES,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,7,0,0,0,0,0
ES,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,2,CREAS,1,0,0,0,0,0
ES,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,3,Conselhos,3,0,0,0,0,0
ES,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,1,0,0,0,0,0
ES,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,5,Secretaria de Saúde,1,0,0,0,0,0
ES,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,1,0,0,0,0,0
ES,Estudante Superior,3,Fortalecimento da Gestão - 01/2016,7,Outros,9,0,0,0,0,0
ES,Superior Completo,4,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,29,29,7,18,2,2
ES,Superior Completo,4,Fortalecimento da Gestão - 01/2016,2,CREAS,7,6,0,5,0,1
ES,Superior Completo,4,Fortalecimento da Gestão - 01/2016,3,Conselhos,1,1,0,1,0,0
ES,Superior Completo,4,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,2,2,1,1,0,0
ES,Superior Completo,4,Fortalecimento da Gestão - 01/2016,5,Secretaria de Saúde,1,0,0,0,0,0
ES,Superior Completo,4,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,4,4,0,4,0,0
ES,Superior Completo,4,Fortalecimento da Gestão - 01/2016,7,Outros,18,17,4,7,4,2
ES,Especialista,5,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,33,33,7,24,2,0
ES,Especialista,5,Fortalecimento da Gestão - 01/2016,2,CREAS,2,2,0,2,0,0
ES,Especialista,5,Fortalecimento da Gestão - 01/2016,3,Conselhos,1,1,0,0,0,1
ES,Especialista,5,Fortalecimento da Gestão - 01/2016,4,Secretaria de Educação,1,1,1,0,0,0
ES,Especialista,5,Fortalecimento da Gestão - 01/2016,5,Secretaria de Saúde,3,3,3,0,0,0
ES,Especialista,5,Fortalecimento da Gestão - 01/2016,6,Sistema Justiça,3,3,2,1,0,0
ES,Especialista,5,Fortalecimento da Gestão - 01/2016,7,Outros,9,9,3,5,1,0
ES,Mestrando,6,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
ES,Mestrando,6,Fortalecimento da Gestão - 01/2016,7,Outros,1,1,0,1,0,0
ES,Doutorado,9,Fortalecimento da Gestão - 01/2016,7,Outros,1,1,0,1,0,0
GO,Médio Completo,2,Fortalecimento da Gestão - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
