uf,escolaridade,curso,area_atuacao,inscritos,selecionados,nao_cert,certificados,abandonos,evasoes
ES,Superior Completo,Formação de Mediadores - 01/2016,CREAS,2,2,1,0,1,0
ES,Superior Completo,Formação de Mediadores - 01/2016,Outros,3,3,2,0,1,0
ES,Superior Completo,Formação de Mediadores - 01/2016,Secretaria de Saúde,1,1,0,1,0,0
ES,Superior Completo,Formação de Mediadores - 01/2016,Sistema Justiça,2,2,1,1,0,0
ES,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,2,0,1,0
GO,Especialista,Formação de Mediadores - 01/2016,CREAS,1,1,0,0,1,0
GO,Especialista,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
GO,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
GO,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
GO,Superior Completo,Formação de Mediadores - 01/2016,Outros,2,2,1,1,0,0
MA,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MA,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
MA,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,4,4,2,2,0,0
MG,Especialista,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,1,0,0,0
MG,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MG,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
MG,Mestrando,Formação de Mediadores - 01/2016,CREAS,1,1,0,1,0,0
MG,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MG,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
MS,Especialista,Formação de Mediadores - 01/2016,CREAS,1,1,1,0,0,0
MS,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
MS,Mestrado,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,0,1,0,0
MT,Especialista,Formação de Mediadores - 01/2016,Outros,2,2,1,0,0,1
MT,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,1,0,1,0
MT,Estudante Superior,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
MT,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MT,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MT,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
MT,Superior Completo,Formação de Mediadores - 01/2016,Outros,4,4,0,0,4,0
MT,Superior Completo,Formação de Mediadores - 01/2016,Sistema Justiça,2,2,1,0,0,1
MT,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,7,7,3,2,1,1
PA,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
PA,Estudante Superior,Formação de Mediadores - 01/2016,CREAS,1,1,0,0,1,0
PA,Estudante Superior,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
PA,Superior Completo,Formação de Mediadores - 01/2016,CREAS,1,1,0,0,1,0
PA,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
PA,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
PB,Especialista,Formação de Mediadores - 01/2016,Outros,2,2,1,0,1,0
PB,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
PB,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
PB,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
PE,Especialista,Formação de Mediadores - 01/2016,CREAS,2,2,1,0,0,1
PE,Especialista,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
PE,Especialista,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,0,0,0,1
PE,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,4,4,1,2,1,0
PR,Especialista,Formação de Mediadores - 01/2016,CREAS,3,3,1,0,1,1
PR,Especialista,Formação de Mediadores - 01/2016,Outros,2,2,0,1,1,0
PR,Especialista,Formação de Mediadores - 01/2016,Sistema Justiça,3,3,2,1,0,0
PR,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,12,12,1,11,0,0
PR,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,0,4,1,0
PR,Mestrado,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
PR,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,4,4,1,3,0,0
PR,Nível Médio,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
PR,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,4,4,1,2,0,1
PR,Superior Completo,Formação de Mediadores - 01/2016,CREAS,2,2,1,1,0,0
PR,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
PR,Superior Completo,Formação de Mediadores - 01/2016,Sistema Justiça,2,2,2,0,0,0
PR,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,7,7,3,2,0,2
RJ,Especialista,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
RJ,Especialista,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,1,0,0,0
RJ,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,1,1,0
RJ,Estudante Superior,Formação de Mediadores - 01/2016,Secretaria de Educação,1,1,0,1,0,0
RJ,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,1,1,0,0
RJ,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,0,2,0
RJ,Nível Médio,Formação de Mediadores - 01/2016,Secretaria de Educação,1,1,0,1,0,0
RJ,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,1,1,1,0
RJ,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
RJ,Superior Completo,Formação de Mediadores - 01/2016,Secretaria de Educação,1,1,0,0,1,0
RJ,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,1,3,1,0
RN,Especialista,Formação de Mediadores - 01/2016,Secretaria de Saúde,1,1,0,0,1,0
RN,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,0,2,1,0
RN,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
RN,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
RN,Mestrando,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
RN,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
RN,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,0,0,1,0
RN,Superior Completo,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,0,0,1,0
RN,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,1,4,0,0
RO,Especialista,Formação de Mediadores - 01/2016,Outros,1,1,0,0,0,1
RR,Especialista,Formação de Mediadores - 01/2016,CREAS,1,1,0,1,0,0
RS,Doutorado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
RS,Especialista,Formação de Mediadores - 01/2016,CREAS,1,1,1,0,0,0
RS,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,7,7,1,2,4,0
RS,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,1,0,0,0
RS,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,2,0,0,1
RS,Mestrando,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,0,0,1,0
RS,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,1,1,0
RS,Superior Completo,Formação de Mediadores - 01/2016,CREAS,4,4,2,1,1,0
RS,Superior Completo,Formação de Mediadores - 01/2016,Secretaria de Saúde,1,1,0,0,0,1
RS,Superior Completo,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,1,0,0,0
RS,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,8,8,2,5,0,1
SC,Especialista,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,1,0,0,0
SC,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,1,3,1,0
SC,Mestrado,Formação de Mediadores - 01/2016,Sistema Justiça,2,2,1,0,1,0
SC,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,1,1,0
SE,Especialista,Formação de Mediadores - 01/2016,CREAS,2,2,1,0,0,1
SE,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
SE,Superior Completo,Formação de Mediadores - 01/2016,Conselhos,1,1,1,0,0,0
SE,Superior Completo,Formação de Mediadores - 01/2016,Outros,3,3,0,2,1,0
SE,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
SP,Especialista,Formação de Mediadores - 01/2016,Outros,2,2,1,0,1,0
SP,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,4,4,1,3,0,0
SP,Estudante Superior,Formação de Mediadores - 01/2016,Conselhos,1,1,1,0,0,0
SP,Estudante Superior,Formação de Mediadores - 01/2016,CREAS,1,1,1,0,0,0
SP,Estudante Superior,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
SP,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
SP,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,0,3,0,0
SP,Mestrando,Formação de Mediadores - 01/2016,Outros,1,1,0,0,1,0
SP,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,9,9,3,5,1,0
SP,Superior Completo,Formação de Mediadores - 01/2016,CREAS,2,2,1,1,0,0
SP,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
SP,Superior Completo,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,0,0,1,0
SP,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,19,19,11,7,1,0
AC,Especialista,Fortalecimento da Gestão - 01/2016,CREAS,1,1,0,1,0,0
AC,Especialista,Fortalecimento da Gestão - 01/2016,Outros,1,1,0,1,0,0
AC,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,1,1,0,0,0
AC,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,2,0,0,0
AC,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,3,0,0,0,0,0
AC,Mestrado,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
AC,Nível Médio,Fortalecimento da Gestão - 01/2016,Outros,1,0,0,0,0,0
AC,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,3,3,2,1,0,0
AC,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,1,0,0,0,1
AC,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,9,9,3,4,1,1
AL,Especialista,Fortalecimento da Gestão - 01/2016,CREAS,1,1,0,1,0,0
AL,Especialista,Fortalecimento da Gestão - 01/2016,Outros,9,7,2,3,1,1
AL,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
AL,Estudante Superior,Fortalecimento da Gestão - 01/2016,Conselhos,2,0,0,0,0,0
AL,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,2,0,0,0,0,0
AL,Mestrando,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,0,0,1
AL,Superior Completo,Fortalecimento da Gestão - 01/2016,Conselhos,1,1,1,0,0,0
AL,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,3,3,0,2,1,0
AL,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Justiça,2,2,0,1,1,0
AL,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,2,0,0
AM,Especialista,Fortalecimento da Gestão - 01/2016,Outros,1,1,0,1,0,0
AM,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,1,1,0,0,1,0
AM,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,1,0,1,0
AP,Especialista,Fortalecimento da Gestão - 01/2016,Conselhos,2,2,0,2,0,0
AP,Especialista,Fortalecimento da Gestão - 01/2016,Outros,1,1,1,0,0,0
AP,Especialista,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,3,2,1,1,0,0
AP,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
AP,Mestrado,Fortalecimento da Gestão - 01/2016,Outros,1,1,0,0,1,0
AP,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,1,1,1,0,0,0
AP,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,2,2,1,1,0,0
AP,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,1,0,0,0,1
AP,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,1,1,1,0
BA,Especialista,Fortalecimento da Gestão - 01/2016,CREAS,4,4,1,2,0,1
BA,Especialista,Fortalecimento da Gestão - 01/2016,Outros,10,10,3,3,2,2
BA,Especialista,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,1,1,1,0,0,0
BA,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,1,0,1,0,0
BA,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,1,4,0,0
BA,Estudante Superior,Fortalecimento da Gestão - 01/2016,Outros,2,0,0,0,0,0
BA,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,0,0,0,0,0
BA,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,4,0,0,0,0,0
BA,Nível Médio,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,4,0,0,0,0,0
BA,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,6,6,5,1,0,0
BA,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,5,3,1,0,2,0
BA,Superior Completo,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,2,2,1,0,0,1
BA,Superior Completo,Fortalecimento da Gestão - 01/2016,Secretaria de Saúde,2,2,1,1,0,0
BA,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Justiça,2,2,0,1,1,0
BA,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,21,20,11,7,1,1
CE,Especialista,Fortalecimento da Gestão - 01/2016,Conselhos,2,2,0,2,0,0
CE,Especialista,Fortalecimento da Gestão - 01/2016,CREAS,3,3,1,0,2,0
CE,Especialista,Fortalecimento da Gestão - 01/2016,Outros,6,5,3,1,1,0
CE,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,6,5,1,2,2,0
CE,Estudante Superior,Fortalecimento da Gestão - 01/2016,Outros,2,0,0,0,0,0
CE,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
CE,Nível Médio,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,0,0,0,0,0
CE,Nível Médio,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
CE,Superior Completo,Fortalecimento da Gestão - 01/2016,Conselhos,4,4,1,2,1,0
CE,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,9,9,4,0,5,0
CE,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,18,15,8,4,2,1
CE,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,2,3,0,0
DF,Especialista,Fortalecimento da Gestão - 01/2016,Outros,7,7,1,2,4,0
DF,Especialista,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,2,2,1,1,0,0
DF,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,1,0,1,0,0
DF,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,8,8,4,4,0,0
DF,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
DF,Mestrado,Fortalecimento da Gestão - 01/2016,Outros,1,1,0,1,0,0
DF,Mestrado,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,1,1,0,0
DF,Mestrando,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
DF,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,6,5,0,4,1,0
DF,Superior Completo,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,1,1,1,0,0,0
DF,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,0,0,0,0,0
DF,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,6,6,1,2,1,2
ES,Doutorado,Fortalecimento da Gestão - 01/2016,Outros,1,1,0,1,0,0
ES,Especialista,Fortalecimento da Gestão - 01/2016,Conselhos,1,1,0,0,0,1
ES,Especialista,Fortalecimento da Gestão - 01/2016,CREAS,2,2,0,2,0,0
ES,Especialista,Fortalecimento da Gestão - 01/2016,Outros,9,9,3,5,1,0
ES,Especialista,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,1,1,1,0,0,0
ES,Especialista,Fortalecimento da Gestão - 01/2016,Secretaria de Saúde,3,3,3,0,0,0
ES,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Justiça,3,3,2,1,0,0
ES,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,33,33,7,24,2,0
ES,Estudante Superior,Fortalecimento da Gestão - 01/2016,Conselhos,3,0,0,0,0,0
ES,Estudante Superior,Fortalecimento da Gestão - 01/2016,CREAS,1,0,0,0,0,0
ES,Estudante Superior,Fortalecimento da Gestão - 01/2016,Outros,9,0,0,0,0,0
ES,Estudante Superior,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,1,0,0,0,0,0
ES,Estudante Superior,Fortalecimento da Gestão - 01/2016,Secretaria de Saúde,1,0,0,0,0,0
ES,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,0,0,0,0,0
ES,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,7,0,0,0,0,0
ES,Mestrando,Fortalecimento da Gestão - 01/2016,Outros,1,1,0,1,0,0
ES,Mestrando,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
ES,Nível Médio,Fortalecimento da Gestão - 01/2016,Conselhos,1,0,0,0,0,0
ES,Nível Médio,Fortalecimento da Gestão - 01/2016,CREAS,2,0,0,0,0,0
ES,Nível Médio,Fortalecimento da Gestão - 01/2016,Outros,3,0,0,0,0,0
ES,Nível Médio,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,8,0,0,0,0,0
ES,Superior Completo,Fortalecimento da Gestão - 01/2016,Conselhos,1,1,0,1,0,0
ES,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,7,6,0,5,0,1
ES,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,18,17,4,7,4,2
ES,Superior Completo,Fortalecimento da Gestão - 01/2016,Secretaria de Educação,2,2,1,1,0,0
ES,Superior Completo,Fortalecimento da Gestão - 01/2016,Secretaria de Saúde,1,0,0,0,0,0
ES,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Justiça,4,4,0,4,0,0
ES,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,29,29,7,18,2,2
GO,Doutorado,Fortalecimento da Gestão - 01/2016,Outros,1,1,0,1,0,0
GO,Especialista,Fortalecimento da Gestão - 01/2016,Conselhos,1,1,0,1,0,0
GO,Especialista,Fortalecimento da Gestão - 01/2016,CREAS,2,2,0,1,1,0
GO,Especialista,Fortalecimento da Gestão - 01/2016,Outros,2,2,0,2,0,0
GO,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,12,12,2,7,3,0
GO,Estudante Superior,Fortalecimento da Gestão - 01/2016,CREAS,1,0,0,0,0,0
GO,Estudante Superior,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,0,0,0,0,0
GO,Mestrado,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,0,1,1
GO,Nível Médio,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
GO,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,2,2,1,1,0,0
GO,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,4,3,0,3,0,0
GO,Superior Completo,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,17,17,5,5,5,2
MA,Especialista,Fortalecimento da Gestão - 01/2016,Conselhos,1,1,1,0,0,0
MA,Especialista,Fortalecimento da Gestão - 01/2016,CREAS,1,1,1,0,0,0
MA,Especialista,Fortalecimento da Gestão - 01/2016,Outros,2,2,1,1,0,0
MA,Especialista,Fortalecimento da Gestão - 01/2016,Secretaria de Saúde,1,1,0,0,1,0
MA,Especialista,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,1,4,0,0
MA,Estudante Superior,Fortalecimento da Gestão - 01/2016,Outros,1,0,0,0,0,0
MA,Mestrando,Fortalecimento da Gestão - 01/2016,Sistema Justiça,1,1,0,0,1,0
MA,Nível Médio,Fortalecimento da Gestão - 01/2016,Sistema Sinase - Unidades socioeducativas,1,0,0,0,0,0
MA,Superior Completo,Fortalecimento da Gestão - 01/2016,CREAS,1,1,0,0,0,1
MA,Superior Completo,Fortalecimento da Gestão - 01/2016,Outros,2,2,0,1,1,0
